Occupation,Total - Employment income statistics,With employment income,Median employment income,Average employment income,"With wages, salaries and commissions","Median wages, salaries and commisions","Average wages, salaries and commisions"
13112 Medical administrative assistants,"36,365","35,065","36,400","36,000","34,610","36,400","36,120"
132 Transportation and production logistics coordinators and customs brokers and related broker occupations,"57,170","55,305","50,400","55,000","54,175","50,800","55,450"
1320 Transportation and production logistics coordinators and customs brokers and related broker occupations,"57,170","55,305","50,400","55,000","54,175","50,800","55,450"
"13200 Customs, ship and other brokers","5,130","4,955","47,600","55,300","4,820","48,400","55,450"
13201 Production and transportation logistics coordinators,"52,040","50,350","50,800","55,000","49,355","51,200","55,400"
14 Administrative and financial support and supply chain logistics occupations,"968,720","915,165","35,600","37,880","887,790","36,400","38,320"
"141 Office, court, and data support occupations","453,855","421,720","28,800","32,080","408,030","29,600","32,480"
1410 Office support and court services occupations,"388,045","363,510","29,000","32,160","352,455","29,800","32,520"
14100 General office support workers,"203,185","188,850","35,200","36,320","180,990","36,400","37,040"
14101 Receptionists,"167,155","157,510","21,800","25,280","154,520","22,200","25,320"
14102 Personnel clerks,"12,400","11,945","47,600","47,920","11,800","47,600","47,960"
14103 Court clerks and related court services occupations,"5,305","5,200","53,600","52,950","5,145","53,200","52,500"
"1411 Survey, statistical and data entry occupations","65,810","58,210","27,200","31,520","55,575","28,600","32,240"
14110 Survey interviewers and statistical clerks,"18,095","14,110","13,200","25,680","13,260","14,000","26,400"
14111 Data entry clerks,"46,895","43,300","31,200","33,080","41,595","32,400","33,760"
14112 Desktop publishing operators and related occupations,815,800,"48,800","49,200",720,"52,400","52,700"
"142 Financial, insurance and related administrative support workers","216,485","205,980","42,800","44,960","196,845","43,200","45,720"
"1420 Financial, insurance and related administrative support workers","216,485","205,980","42,800","44,960","196,845","43,200","45,720"
14200 Accounting and related clerks,"182,470","173,155","42,000","44,480","164,685","42,800","45,320"
"14201 Banking, insurance and other financial clerks","20,715","19,930","46,400","49,840","19,475","46,800","50,080"
14202 Collection clerks,"13,305","12,890","44,000","43,600","12,685","44,400","43,960"
"143 Library, correspondence and other clerks","35,935","34,680","36,400","38,920","33,710","37,200","39,280"
"1430 Library, correspondence and other clerks","35,935","34,680","36,400","38,920","33,710","37,200","39,280"
14300 Library assistants and clerks,"14,980","14,625","20,600","25,260","14,515","20,600","25,140"
"14301 Correspondence, publication and regulatory clerks","20,960","20,055","48,000","48,880","19,200","49,200","50,000"
"144 Supply chain logistics, tracking and scheduling coordination occupations","262,445","252,785","39,200","41,680","249,210","39,200","41,880"
"1440 Supply chain logistics, tracking and scheduling coordination occupations","262,445","252,785","39,200","41,680","249,210","39,200","41,880"
14400 Shippers and receivers,"130,710","125,720","34,800","35,960","124,275","34,800","36,000"
14401 Storekeepers and partspersons,"47,475","46,045","43,200","45,520","45,430","43,200","45,840"
14402 Production logistics workers,"9,340","9,035","48,800","52,200","8,910","49,200","52,500"
14403 Purchasing and inventory control workers,"38,135","36,440","39,200","40,920","35,775","39,600","41,160"
14404 Dispatchers,"32,495","31,415","52,000","55,150","30,825","52,400","55,650"
14405 Transportation route and crew schedulers,"4,295","4,135","52,800","55,550","4,000","53,600","56,200"
2 Natural and applied sciences and related occupations,"1,666,685","1,580,270","74,000","82,000","1,516,100","75,000","83,600"
"20 Specialized middle management occupations in engineering, architecture, science and information systems","134,620","129,705","112,000","128,800","127,295","113,000","130,000"
"200 Specialized middle management occupations in engineering, architecture, science and information systems","134,620","129,705","112,000","128,800","127,295","113,000","130,000"
"2001 Managers in engineering, architecture, science and information systems","134,620","129,705","112,000","128,800","127,295","113,000","130,000"
20010 Engineering managers,"32,775","31,685","119,000","137,000","31,175","120,000","138,200"
20011 Architecture and science managers,"15,610","15,035","100,000","111,400","14,790","100,000","112,300"
20012 Computer and information systems managers,"86,235","82,990","112,000","128,800","81,335","112,000","130,200"
21 Professional occupations in natural and applied sciences,"966,165","910,175","80,000","87,400","872,030","81,000","89,000"
211 Professional occupations in natural sciences,"105,080","100,710","70,500","76,800","96,820","71,500","77,800"
2110 Physical science professionals,"33,730","32,045","72,000","85,500","30,745","73,000","86,600"
21100 Physicists and astronomers,"2,755","2,655","97,000","106,700","2,575","98,000","104,300"
21101 Chemists,"17,285","16,710","64,500","69,800","16,430","64,500","70,100"
21102 Geoscientists and oceanographers,"12,140","11,165","83,000","104,200","10,290","86,000","108,300"
21103 Meteorologists and climatologists,940,925,"99,000","90,400",880,"102,000","93,200"
21109 Other professional occupations in physical sciences,620,590,"71,000","76,000",565,"72,000","78,000"
2111 Life science professionals,"50,005","48,070","68,500","72,600","46,015","69,500","73,700"
21110 Biologists and related scientists,"36,960","35,605","69,000","74,500","34,600","70,000","75,100"
21111 Forestry professionals,"5,545","5,300","74,500","74,000","4,875","76,000","77,000"
"21112 Agricultural representatives, consultants and specialists","7,495","7,165","60,400","62,150","6,545","61,600","64,100"
2112 Public and environmental health and safety professionals,"21,345","20,595","73,000","72,800","20,060","74,000","73,500"
21120 Public and environmental health and safety professionals,"21,345","20,595","73,000","72,800","20,060","74,000","73,500"
212 Professional occupations in applied sciences (except engineering),"600,380","561,360","78,500","83,900","534,740","80,000","85,500"
"2120 Architects, urban planners and land surveyors","51,625","48,725","72,500","78,700","45,765","74,000","80,500"
21200 Architects,"20,975","19,250","70,000","81,700","17,510","72,000","84,400"
21201 Landscape architects,"2,270","2,095","63,200","66,400","1,850","66,500","70,800"
21202 Urban and land use planners,"20,615","19,940","77,500","80,700","19,240","79,000","82,000"
21203 Land surveyors,"7,755","7,445","66,500","68,600","7,165","66,500","69,500"
"2121 Mathematicians, statisticians, actuaries and data scientists","29,490","27,915","85,000","97,200","27,225","86,000","97,400"
"21210 Mathematicians, statisticians and actuaries","14,075","13,460","88,000","105,400","13,145","89,000","105,700"
21211 Data scientists,"15,420","14,450","83,000","89,500","14,080","83,000","89,600"
